date,site,s2_secchi,s2_rrs,s2_kdmin,types2,l8_secchi,l8_rrs,l8_kdmin
8/10/21,119,3.236048322,0.011633556,0.28400816,S2A,2.861851526,0.012492445,0.319788438
8/10/21,120,5.387314866,0.01084289,0.171998737,S2A,5.302805067,0.010173112,0.17712702
8/10/21,121,5.258477704,0.010387556,0.189849463,S2A,4.614797296,0.00932089,0.204533592
8/10/21,122,4.348599988,0.008781334,0.212837262,S2A,4.688380626,0.008601556,0.197454122
8/10/21,123,NaN,0.005602001,NaN,S2A,1.350300393,0.012970223,0.675592395
8/10/21,124,NaN,0.011293334,NaN,S2A,1.847720317,0.01304289,0.493494645
8/10/21,125,NaN,0.012083556,NaN,S2A,1.215560637,0.015087112,0.745473913
8/10/21,126,NaN,0.010803334,NaN,S2A,1.775058304,0.013086223,0.513651323
8/10/21,127,2.584591103,0.011084668,0.355399434,S2A,1.974982216,0.012419334,0.462609671
8/10/21,128,2.687508668,0.011715556,0.341231112,S2A,1.965688475,0.013058223,0.46409343
8/10/21,129,2.213186821,0.012753112,0.413245156,S2A,1.549103166,0.015012001,0.584563232
8/10/21,130,2.139768892,0.012603556,0.427286797,S2A,1.668640181,0.014536223,0.543894002
8/10/21,131,2.091662327,0.011815334,0.441016186,S2A,1.567329283,0.014471556,0.579694606
8/10/21,132,1.408468255,0.010808223,0.651025112,S2A,1.29917184,0.013731334,0.700284611
8/10/21,133,4.244606087,0.012467556,0.221281763,S2A,3.005485026,0.013164445,0.306889642
8/10/21,134,3.463170287,0.013451334,0.26520046,S2A,2.716788587,0.014144223,0.335986943
8/10/21,135,5.949807547,0.01234489,0.158226516,S2A,4.750521562,0.012239334,0.195537096
8/10/21,136,4.772500036,0.008443556,0.194012465,S2A,5.176702489,0.007821556,0.179218853
8/10/21,137,4.776693728,0.008891779,0.197154741,S2A,4.784431368,0.008000445,0.193850249
8/10/21,138,NaN,0.003362001,NaN,S2A,0.791120589,0.013437556,1.151282584
8/10/21,139,NaN,0.011254001,NaN,S2A,1.920230413,0.013364668,0.474612559
8/10/21,140,2.345549423,0.011343779,0.391198753,S2A,1.753203126,0.013681556,0.520481929
8/10/21,141,2.082521618,0.013778223,0.43749357,S2A,1.565906953,0.01631089,0.575744701
8/10/21,142,5.271366011,0.012025779,0.177838713,S2A,3.620766955,0.012869779,0.252870237
8/10/21,143,2.522103396,0.011099779,0.364248998,S2A,2.144358409,0.012688223,0.425752614
8/10/21,144,5.038153319,0.011853334,0.186204744,S2A,3.424424434,0.012444001,0.268908439
8/10/21,145,2.003811704,0.010656668,0.458019055,S2A,1.627921175,0.012978001,0.561666589
8/10/21,146,2.402081025,0.01172489,0.381664642,S2A,1.783299768,0.013721556,0.510510949
8/10/21,147,1.903011094,0.011272445,0.482848865,S2A,1.553382487,0.013015779,0.587065825
8/10/21,148,1.949673284,0.012375112,0.469963365,S2A,1.538949651,0.013938001,0.591772743
8/10/21,149,3.055342589,0.011027112,0.30191253,S2A,2.054968555,0.012400001,0.445309574
8/10/21,150,3.049615165,0.011473779,0.302877154,S2A,2.131961985,0.012343334,0.429575056
7/9/21,1,NaN,NaN,NaN,S2B,0.947417481,0.016729334,0.951130459
7/9/21,2,NaN,NaN,NaN,S2B,0.979472331,0.017699112,0.917198351
7/9/21,3,NaN,NaN,NaN,S2B,1.121357572,0.020093556,0.792610203
7/9/21,4,NaN,0.011219556,NaN,S2B,0.599916863,0.015034001,1.529296442
7/9/21,5,1.33386215,0.014791112,0.680575158,S2B,1.046592579,0.01829089,0.855307
7/9/21,6,NaN,NaN,NaN,S2B,1.119266601,0.016400001,0.80518212
7/9/21,7,NaN,NaN,NaN,S2B,0.956461054,0.01869689,0.934180184
7/9/21,8,NaN,NaN,NaN,S2B,1.248217773,0.01685089,0.721361926
7/9/21,9,NaN,NaN,NaN,S2B,1.06097373,0.016831112,0.84919792
7/9/21,10,NaN,NaN,NaN,S2B,0.528067955,0.012667556,1.726614636
7/9/21,11,NaN,NaN,NaN,S2B,0.729961584,0.016378445,1.235710221
7/9/21,12,NaN,NaN,NaN,S2B,0.918727849,0.019286445,0.970734697
7/9/21,13,0.884663854,0.011776001,1.033238928,S2B,0.874052972,0.015906001,1.033091782
7/9/21,14,NaN,NaN,NaN,S2B,0.986655236,0.01809489,0.907527184
7/9/21,15,NaN,NaN,NaN,S2B,1.348639153,0.014882001,0.67222109
7/9/21,16,NaN,NaN,NaN,S2B,0.691162582,0.014220668,1.314879351
7/9/21,17,NaN,NaN,NaN,S2B,0.727536295,0.013427334,1.266018336
7/9/21,18,NaN,NaN,NaN,S2B,0.73969953,0.014814001,1.226375539
7/9/21,19,NaN,NaN,NaN,S2B,0.77871977,0.015618001,1.160337696
7/9/21,20,NaN,NaN,NaN,S2B,0.954496525,0.01772089,0.941613731
7/9/21,21,NaN,NaN,NaN,S2B,0.787079512,0.016693556,1.144020017
7/9/21,22,NaN,NaN,NaN,S2B,1.38647297,0.011667112,0.66078675
7/9/21,23,NaN,NaN,NaN,S2B,1.030780587,0.016120001,0.875908754
7/9/21,24,NaN,NaN,NaN,S2B,1.272307521,0.018819112,0.701980051
7/9/21,25,NaN,NaN,NaN,S2B,NaN,NaN,NaN
7/9/21,26,NaN,NaN,NaN,S2B,NaN,NaN,NaN
7/9/21,27,NaN,NaN,NaN,S2B,0.62032351,0.014420001,1.463709563
7/9/21,28,NaN,NaN,NaN,S2B,0.628131702,0.012852001,1.45162434
7/9/21,29,NaN,NaN,NaN,S2B,0.897428112,0.015574223,1.006963672
7/9/21,30,NaN,NaN,NaN,S2B,NaN,NaN,NaN
7/9/21,31,NaN,NaN,NaN,S2B,0.918892038,0.015789112,0.982589618
7/9/21,32,NaN,NaN,NaN,S2B,0.701485706,0.016150001,1.290616025
7/9/21,33,NaN,NaN,NaN,S2B,NaN,NaN,NaN
7/9/21,34,NaN,NaN,NaN,S2B,NaN,NaN,NaN
7/9/21,35,NaN,NaN,NaN,S2B,1.238050189,0.016672001,0.726916608
7/9/21,36,NaN,NaN,NaN,S2B,0.779704435,0.015002001,1.163940599
7/9/21,37,NaN,NaN,NaN,S2B,0.756631949,0.013424445,1.208010937
7/9/21,38,NaN,NaN,NaN,S2B,1.175011863,0.013666001,0.774932693
7/9/21,39,NaN,NaN,NaN,S2B,0.873209432,0.014324223,1.040887216
